class id,filepaths,label,scientific name,Big Garden Bird Watch '22 Rank,BoCC5 Status,Source
14,.\birds\Collared_Dove(118).jpg,Collared_Dove,Streptopelia decaocto,15,Green,https://www.publicdomainpictures.net/pictures/410000/velka/collared-dove.jpg
14,.\birds\Collared_Dove(137).jpg,Collared_Dove,Streptopelia decaocto,15,Green,Camera trap
19,.\birds\Song_Thrush(18).jpg,Song_Thrush,Turdus philomelos,20,Amber,https://www.photosimon.cz/photos/none-2362.jpg
18,.\birds\Wren(69).jpg,Wren,Troglodytes troglodytes,19,Amber,http://www.tf79.ch/nature/photos/troglodytes-troglodytes002.jpg
2,.\birds\Starling(36).jpg,Starling,Sturnus vulgaris,3,Red,https://animaldiversity.org/collections/contributors/h_c_kyllingstad/StarlingSantaCruzCA_Sep73/medium.jpg
10,.\birds\Chaffinch(113).jpg,Chaffinch,Fringilla coelebs,11,Green,https://www.pentaxforums.com/gallery/images/5733/1__IGP8811.jpg
6,.\birds\Goldfinch(85).jpg,Goldfinch,Carduelis carduelis,7,Green,https://www.viva.fct.unl.pt/sites/www.viva.fct.unl.pt/files/imagecache/fichaindividual/imagens/aves/carduelis_carduelis_actualizado/carduelis_carduelis_ze_manel3.jpg
11,.\birds\Dunnock(132).jpg,Dunnock,Prunella modularis,12,Amber,https://www.birdguides.com/cdn/gallery/birdguides/c331b98c-64fb-4277-b021-20c7a830864b.jpg
16,.\birds\Coal_Tit(68).jpg,Coal_Tit,Periparus ater,17,Green,https://www.fugleognatur.dk/images/galleri/bf22fefe-287e-4e2b-a5da-5b34de4267ef.jpg
6,.\birds\Goldfinch(39).jpg,Goldfinch,Carduelis carduelis,7,Green,https://i.pinimg.com/originals/85/92/1a/85921a8a7849fb03038a53ef54a9ead7.jpg
14,.\birds\Collared_Dove(94).jpg,Collared_Dove,Streptopelia decaocto,15,Green,http://www.permuted.org.uk/photography/wp-content/uploads/2007/11/collared_dove_1011075195.jpg
12,.\birds\Jackdaw(59).jpg,Jackdaw,Coloeus monedula,13,Green,https://waarneming.nl/media/photo/000/337/337127.jpg
5,.\birds\Robin(120).jpg,Robin,Erithacus rubecula,6,Green,http://www.philarmitage.net/kent/robin.jpg
8,.\birds\Magpie(32).jpg,Magpie,Pica pica,9,Green,http://www.naturephoto-cz.com/photos/sevcik/pica-pica--straka_dse1044.jpg
1,.\birds\BlueTit(97).jpg,Blue_Tit,Cyanistes caeruleus,2,Green,http://2.bp.blogspot.com/-yFOMmwGR5jQ/UwXe84J4FDI/AAAAAAAAIOY/8NiXyHrt6Wk/s1600/IMG_1336+Blue+Tit+200214.jpg
0,.\birds\House_Sparrow(61).jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-3726.jpg
14,.\birds\Collared_Dove(58).jpg,Collared_Dove,Streptopelia decaocto,15,Green,https://www.ornitho-digiscoping.tramelan.ch/images-jpg/streptopelia-decaocto-04-eurasian-collared-dove-tourterelle-turque.jpg
14,.\birds\Collared_Dove(78).jpg,Collared_Dove,Streptopelia decaocto,15,Green,https://www.happybeaks.co.uk/images/94/bird-library/collared-dove.jpg
4,.\birds\Blackbird(60).jpg,Blackbird,Turdus merula,5,Green,https://www.naturephoto-cz.com/photos/mraz/turdus-merula-99x_17a762.jpg
5,.\birds\Robin(124).jpg,Robin,Erithacus rubecula,6,Green,https://www.naturephoto-cz.com/photos/birds/robin-125629.jpg
8,.\birds\Magpie(45).jpg,Magpie,Pica pica,9,Green,https://www.fotosidan.se/cldocpart/567228.jpg
16,.\birds\Coal_Tit(13).jpg,Coal_Tit,Periparus ater,17,Green,https://www.naturephoto-cz.com/photos/mraz/periparus-ater-45x_17d258.jpg
0,.\birds\House_Sparrow(109).jpg,House_Sparrow,Passer domesticus,1,Red,http://1.bp.blogspot.com/-WgZUKoKpD9o/UWcetWSukAI/AAAAAAAAAYc/3--WSdO2zYc/s1600/House+Sparrow.jpg
11,.\birds\Dunnock(28).jpg,Dunnock,Prunella modularis,12,Amber,https://www.birdinginportugal.com/images/bagallery/original/img_8550.jpg
12,.\birds\Jackdaw(39).jpg,Jackdaw,Coloeus monedula,13,Green,https://www.naturephoto-cz.com/photos/mraz/coloeus-monedula-19x_19a115.jpg
14,.\birds\Collared_Dove(76).jpg,Collared_Dove,Streptopelia decaocto,15,Green,https://4.bp.blogspot.com/-KHaNJJq2Phw/UQJLsfMkXcI/AAAAAAAARx4/2j7a7g61FNw/s1600/1+our+dove.JPG
9,.\birds\Long_Tailed_Tit(2).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,http://antropocene.it/wp-content/uploads/2020/06/Aegithalos_caudatus-800x445.jpg
15,.\birds\Carrion_Crow(106).jpg,Carrion_Crow,Corvus corone,16,Green,https://live.staticflickr.com/4241/35521127595_a91b0fd69e.jpg
9,.\birds\Long_Tailed_Tit(118).jpg,Long_Tailed_Tit,Aegithalos caudatus,10,Green,https://www.naturephoto-cz.com/fullsize/birds/long-tailed-tit-153105.jpg
7,.\birds\Great_Tit(62).jpg,Great_Tit,Parus major,8,Green,https://live.staticflickr.com/5284/5348234995_5d137933e1.jpg
0,.\birds\House_Sparrow(145).jpg,House_Sparrow,Passer domesticus,1,Red,Camera trap
8,.\birds\Magpie(88).jpg,Magpie,Pica pica,9,Green,https://www.animal.photos/bird/corv-mag_files/magpie.jpg
11,.\birds\Dunnock(21).jpg,Dunnock,Prunella modularis,12,Amber,https://www.photographyobsession.co.uk/gallery3/var/albums/nature/animals/vertebrates/birds/dunnock/dunnock-sp300mm-100-40d-09829.JPG?m=1402961304
2,.\birds\Starling(37).jpg,Starling,Sturnus vulgaris,3,Red,https://www.naturephoto-cz.com/photos/mraz/sturnus-vulgaris-87x_16a895.jpg
12,.\birds\Jackdaw(4).jpg,Jackdaw,Coloeus monedula,13,Green,https://www.naturephoto-cz.com/photos/birds/coloeus-monedula-42002.jpg
